address,aa,bb,cc,label
小龙坎街道小龙坎新街8号,50,01,06,省略省市
重庆沙坪坝歌乐山街道,50,01,06,省略市+简称
沙坪坝小拢坎街道小龙坎新街8号,50,01,06,同音错误
渐庆沙坪坝磁器口街道金蓉巷3号,50,01,06,编辑距离错误
小龙坎街道沙坪坝区重庆市小龙坎新街8号,50,01,06,顺序混乱
重庆市九龙坡区杨家坪街道杨正街10号,50,01,07,完整
九龙坡石桥铺街道石杨路32号,50,01,07,完整
九龙坡区谢家湾街道谢家湾正街5号,50,01,07,截断
九龙坡黄桷坪街道黄桷坪正街12号,50,01,07,截断
九龙坡中梁山街道华玉路8号,50,01,07,省略省
杨家坪街道杨正街10号,50,01,07,省略省市
重庆九龙坡西彭镇,50,01,07,省略市+简称
九龙坡杨家具坪街道杨正街10号,50,01,07,同音错误
渐庆九龙坡石桥铺街道石杨路32号,50,01,07,编辑距离错误
石桥铺街道九龙坡区重庆市石杨路32号,50,01,07,顺序混乱
重庆市南岸区南坪街道南坪西路14号,50,01,08,完整
南岸弹子石街道卫国路6号,50,01,08,完整
南岸区铜元局街道风临路3号,50,01,08,截断
南岸海棠溪街道南兴路9号,50,01,08,截断
南岸花园路街道金山路21号,50,01,08,省略省
南坪街道南坪西路14号,50,01,08,省略省市
重庆南岸南山街道,50,01,08,省略市+简称
南岸弹子市街道卫国路6号,50,01,08,同音错误
渐庆南岸铜元局街道风临路3号,50,01,08,编辑距离错误
弹子石街道南岸区重庆市卫国路6号,50,01,08,顺序混乱
重庆市北碚区天生街道中山路18号,50,01,09,完整
北碚朝阳街道碚峡西路7号,50,01,09,完整
北碚区歇马街道冯时行路5号,50,01,09,截断
北碚蔡家岗街道同熙路12号,50,01,09,截断
北碚水土街道云汉大道3号,50,01,09,省略省
天生街道中山路18号,50,01,09,省略省市
重庆北碚东阳街道,50,01,09,省略市+简称
北陪天生街道中山路18号,50,01,09,同音错误
渐庆北碚朝阳街道碚峡西路7号,50,01,09,编辑距离错误
天生街道北碚区重庆市中山路18号,50,01,09,顺序混乱
重庆市綦江区古南街道交通路9号,50,01,10,完整
綦江文龙街道九龙大道16号,50,01,10,完整
綦江区三江街道雷园路4号,50,01,10,截断
綦江通惠街道惠滨二路8号,50,01,10,截断
綦江古南街道交通路9号,50,01,10,省略省
文龙街道九龙大道16号,50,01,10,省略省市
重庆綦江三角镇,50,01,10,省略市+简称
綦江股南街道交通路9号,50,01,10,同音错误
渐庆綦江文龙街道九龙大道16号,50,01,10,编辑距离错误
古南街道綦江区重庆市交通路9号,50,01,10,顺序混乱
重庆市大足区棠香街道二环南路18号,50,01,11,完整
大足龙岗街道北山路6号,50,01,11,完整
大足区龙水镇花市街12号,50,01,11,截断
大足智凤街道清明桥路5号,50,01,11,截断
大足棠香街道二环南路18号,50,01,11,省略省
龙岗街道北山路6号,50,01,11,省略省市
重庆大足三驱镇,50,01,11,省略市+简称
大足堂香街道二环南路18号,50,01,11,同音错误
渐庆大足龙水镇花市街12号,50,01,11,编辑距离错误
龙岗街道大足区重庆市北山路6号,50,01,11,顺序混乱
重庆市渝北区龙溪街道红锦大道10号,50,01,12,完整
渝北龙山街道松石北路22号,50,01,12,完整
渝北区两路街道义学路6号,50,01,12,截断
渝北回兴街道服装城大道8号,50,01,12,截断
渝北龙塔街道紫荆路15号,50,01,12,省略省
龙溪街道红锦大道10号,50,01,12,省略省市
重庆渝北仙桃街道,50,01,12,省略市+简称
渝北龙西街道红锦大道10号,50,01,12,同音错误
渐庆渝北回兴街道服装城大道8号,50,01,12,编辑距离错误
龙溪街道渝北区重庆市红锦大道10号,50,01,12,顺序混乱
重庆市巴南区龙洲湾街道龙海大道9号,50,01,13,完整
巴南鱼洞街道新市街18号,50,01,13,完整
巴南区李家沱街道马王坪正街6号,50,01,13,截断
巴南花溪街道红光大道12号,50,01,13,截断
巴南龙洲湾街道龙海大道9号,50,01,13,省略省
鱼洞街道新市街18号,50,01,13,省略省市
重庆巴南一品街道,50,01,13,省略市+简称
巴南龙州湾街道龙海大道9号,50,01,13,同音错误
渐庆巴南李家沱街道马王坪正街6号,50,01,13,编辑距离错误
鱼洞街道巴南区重庆市新市街18号,50,01,13,顺序混乱
重庆市黔江区城西街道新华大道西路7号,50,01,14,完整
黔江城东街道民主街12号,50,01,14,完整
黔江区城南街道河滨南路5号,50,01,14,截断
黔江正阳街道正阳大道18号,50,01,14,截断
黔江城西街道新华大道西路7号,50,01,14,省略省
城东街道民主街12号,50,01,14,省略省市
重庆黔江舟白街道,50,01,14,省略市+简称
黔江城西街导新华大道西路7号,50,01,14,同音错误
渐庆黔江正阳街道正阳大道18号,50,01,14,编辑距离错误
城西街道黔江区重庆市新华大道西路7号,50,01,14,顺序混乱
重庆市长寿区凤城街道三峡路16号,50,01,15,完整
长寿菩提街道桃源大道9号,50,01,15,完整
长寿区晏家街道晏中路5号,50,01,15,截断
长寿江南街道江南大道12号,50,01,15,截断
长寿凤城街道三峡路16号,50,01,15,省略省
菩提街道桃源大道9号,50,01,15,省略省市
重庆长寿八颗街道,50,01,15,省略市+简称
长寿凤成街道三峡路16号,50,01,15,同音错误
渐庆长寿晏家街道晏中路5号,50,01,15,编辑距离错误
凤城街道长寿区重庆市三峡路16号,50,01,15,顺序混乱
重庆市江津区几江街道大同路20号,50,01,16,完整
江津鼎山街道江州大道8号,50,01,16,完整
江津区德感街道德感正街6号,50,01,16,截断
江津双福街道双福新区大道15号,50,01,16,截断
江津几江街道大同路20号,50,01,16,省略省
鼎山街道江州大道8号,50,01,16,省略省市
重庆江津白沙镇,50,01,16,省略市+简称
江津几工街道大同路20号,50,01,16,同音错误
渐庆江津德感街道德感正街6号,50,01,16,编辑距离错误
几江街道江津区重庆市大同路20号,50,01,16,顺序混乱
重庆市合川区合阳城街道瑞山路11号,50,01,17,完整
合川南津街街道南津路18号,50,01,17,完整
合川区钓鱼城街道嘉滨路6号,50,01,17,截断
合川大石街道长安路9号,50,01,17,截断
合川合阳城街道瑞山路11号,50,01,17,省略省
南津街街道南津路18号,50,01,17,省略省市
重庆合川云门街道,50,01,17,省略市+简称
合川合阴城街道瑞山路11号,50,01,17,同音错误
渐庆合川钓鱼城街道嘉滨路6号,50,01,17,编辑距离错误
合阳城街道合川区重庆市瑞山路11号,50,01,17,顺序混乱
重庆市永川区中山路街道红河大道12号,50,01,18,完整
永川胜利路街道胜利路9号,50,01,18,完整
永川区南大街街道南大街20号,50,01,18,截断
永川茶山竹海街道昌州大道5号,50,01,18,截断
永川中山路街道红河大道12号,50,01,18,省略省
胜利路街道胜利路9号,50,01,18,省略省市
重庆永川朱沱镇,50,01,18,省略市+简称
永川中山路街导红河大道12号,50,01,18,同音错误
渐庆永川南大街街道南大街20号,50,01,18,编辑距离错误
中山路街道永川区重庆市红河大道12号,50,01,18,顺序混乱
重庆市南川区东城街道金佛山大道16号,50,01,19,完整
南川西城街道金山大道8号,50,01,19,完整
南川区南城街道钟楼街6号,50,01,19,截断
南川大观街道中心路12号,50,01,19,截断
南川东城街道金佛山大道16号,50,01,19,省略省
西城街道金山大道8号,50,01,19,省略省市
重庆南川三泉镇,50,01,19,省略市+简称
南川东成街道金佛山大道16号,50,01,19,同音错误
渐庆南川南城街道钟楼街6号,50,01,19,编辑距离错误
东城街道南川区重庆市金佛山大道16号,50,01,19,顺序混乱
重庆市璧山区璧城街道中山北路10号,50,01,20,完整
璧山璧泉街道金剑路18号,50,01,20,完整
璧山区青杠街道白云大道6号,50,01,20,截断
璧山来凤街道来凤路12号,50,01,20,截断
璧山璧城街道中山北路10号,50,01,20,省略省
璧泉街道金剑路18号,50,01,20,省略省市
重庆璧山大路街道,50,01,20,省略市+简称
璧山壁城街道中山北路10号,50,01,20,同音错误
渐庆璧山青杠街道白云大道6号,50,01,20,编辑距离错误
璧城街道璧山区重庆市中山北路10号,50,01,20,顺序混乱
重庆市铜梁区巴川街道中兴路14号,50,01,51,完整
铜梁东城街道金龙大道9号,50,01,51,完整
铜梁区南城街道白龙大道6号,50,01,51,截断
铜梁蒲吕街道金地大道12号,50,01,51,截断
铜梁巴川街道中兴路14号,50,01,51,省略省
东城街道金龙大道9号,50,01,51,省略省市
重庆铜梁安居镇,50,01,51,省略市+简称
铜梁巴州街道中兴路14号,50,01,51,同音错误
渐庆铜梁南城街道白龙大道6号,50,01,51,编辑距离错误
巴川街道铜梁区重庆市中兴路14号,50,01,51,顺序混乱
重庆市潼南区梓潼街道正兴街11号,50,01,52,完整
潼南桂林街道巴渝大道8号,50,01,52,完整
潼南区大佛街道大同街6号,50,01,52,截断
潼南凉风垭街道凉风路12号,50,01,52,截断
潼南梓潼街道正兴街11号,50,01,52,省略省
桂林街道巴渝大道8号,50,01,52,省略省市
重庆潼南双江镇,50,01,52,省略市+简称
潼南梓同街道正兴街11号,50,01,52,同音错误
渐庆潼南大佛街道大同街6号,50,01,52,编辑距离错误
梓潼街道潼南区重庆市正兴街11号,50,01,52,顺序混乱
重庆市荣昌区昌元街道人民路13号,50,01,53,完整
荣昌昌州街道向阳路9号,50,01,53,完整
荣昌区广顺街道顺城街6号,50,01,53,截断
荣昌峰高街道峰高大道12号,50,01,53,截断
荣昌昌元街道人民路13号,50,01,53,省略省
昌州街道向阳路9号,50,01,53,省略省市
重庆荣昌安富街道,50,01,53,省略市+简称
荣昌昌原街道人民路13号,50,01,53,同音错误
渐庆荣昌广顺街道顺城街6号,50,01,53,编辑距离错误
昌元街道荣昌区重庆市人民路13号,50,01,53,顺序混乱
重庆市开州区汉丰街道开州大道18号,50,01,54,完整
开州文峰街道南山中路9号,50,01,54,完整
开州区云枫街道平桥街6号,50,01,54,截断
开州镇东街道滨湖路12号,50,01,54,截断
开州汉丰街道开州大道18号,50,01,54,省略省
文峰街道南山中路9号,50,01,54,省略省市
重庆开州临江镇,50,01,54,省略市+简称
开洲汉丰街道开州大道18号,50,01,54,同音错误
渐庆开州云枫街道平桥街6号,50,01,54,编辑距离错误
汉丰街道开州区重庆市开州大道18号,50,01,54,顺序混乱
重庆市梁平区梁山街道人民东路16号,50,01,55,完整
梁平双桂街道桂西路8号,50,01,55,完整
梁平区合兴街道合兴路6号,50,01,55,截断
梁平仁贤街道仁贤大道12号,50,01,55,截断
梁平梁山街道人民东路16号,50,01,55,省略省
双桂街道桂西路8号,50,01,55,省略省市
重庆梁平礼让镇,50,01,55,省略市+简称
梁平梁出街道人民东路16号,50,01,55,同音错误
渐庆梁平合兴街道合兴路6号,50,01,55,编辑距离错误
梁山街道梁平区重庆市人民东路16号,50,01,55,顺序混乱
重庆市武隆区巷口街道芙蓉中路10号,50,01,56,完整
武隆仙女山街道香叶路6号,50,01,56,完整
武隆区羊角街道烈女西路4号,50,01,56,截断
武隆凤山街道建设东路12号,50,01,56,截断
武隆巷口街道芙蓉中路10号,50,01,56,省略省
仙女山街道香叶路6号,50,01,56,省略省市
重庆武隆江口镇,50,01,56,省略市+简称
武隆巷口街导芙蓉中路10号,50,01,56,同音错误
渐庆武隆羊角街道烈女西路4号,50,01,56,编辑距离错误
巷口街道武隆区重庆市芙蓉中路10号,50,01,56,顺序混乱
重庆市城口县葛城街道北大街12号,50,02,29,完整
城口复兴街道和平路6号,50,02,29,完整
城口县修齐镇仁和路8号,50,02,29,截断
城口高观镇高观大道15号,50,02,29,截断
城口葛城街道北大街12号,50,02,29,省略省
复兴街道和平路6号,50,02,29,省略省市
重庆城口庙坝镇,50,02,29,省略市+简称
城口葛成街道北大街12号,50,02,29,同音错误
渐庆城口修齐镇仁和路8号,50,02,29,编辑距离错误
葛城街道城口县重庆市北大街12号,50,02,29,顺序混乱
重庆市丰都县三合街道平都大道18号,50,02,30,完整
丰都名山街道名山大道9号,50,02,30,完整
丰都县虎威镇虎威路6号,50,02,30,截断
丰都高家镇高家路12号,50,02,30,截断
丰都三合街道平都大道18号,50,02,30,省略省
名山街道名山大道9号,50,02,30,省略省市
重庆丰都社坛镇,50,02,30,省略市+简称
丰都三和街道平都大道18号,50,02,30,同音错误
渐庆丰都虎威镇虎威路6号,50,02,30,编辑距离错误
三合街道丰都县重庆市平都大道18号,50,02,30,顺序混乱
重庆市垫江县桂溪街道桂西大道16号,50,02,31,完整
垫江桂阳街道牡丹大道8号,50,02,31,完整
垫江县澄溪镇澄溪路6号,50,02,31,截断
垫江高安镇高安大道12号,50,02,31,截断
垫江桂溪街道桂西大道16号,50,02,31,省略省
桂阳街道牡丹大道8号,50,02,31,省略省市
重庆垫江周嘉镇,50,02,31,省略市+简称
垫江桂西街道桂西大道16号,50,02,31,同音错误
渐庆垫江澄溪镇澄溪路6号,50,02,31,编辑距离错误
桂溪街道垫江县重庆市桂西大道16号,50,02,31,顺序混乱
重庆市忠县忠州街道巴王路14号,50,02,33,完整
忠县白公街道白公路9号,50,02,33,完整
忠县县乌杨街道乌杨路6号,50,02,33,截断
忠县新生街道新生大道12号,50,02,33,截断
忠县忠州街道巴王路14号,50,02,33,省略省
白公街道白公路9号,50,02,33,省略省市
重庆忠县石宝镇,50,02,33,省略市+简称
忠县忠洲街道巴王路14号,50,02,33,同音错误
渐庆忠县乌杨街道乌杨路6号,50,02,33,编辑距离错误
忠州街道忠县重庆市巴王路14号,50,02,33,顺序混乱
重庆市云阳县青龙街道云江大道18号,50,02,35,完整
云阳双江街道望江大道9号,50,02,35,完整
云阳县人和街道人和路6号,50,02,35,截断
云阳盘龙街道盘石路12号,50,02,35,截断
云阳青龙街道云江大道18号,50,02,35,省略省
双江街道望江大道9号,50,02,35,省略省市
重庆云阳江口镇,50,02,35,省略市+简称
云阳青拢街道云江大道18号,50,02,35,同音错误
渐庆云阳人和街道人和路6号,50,02,35,编辑距离错误
青龙街道云阳县重庆市云江大道18号,50,02,35,顺序混乱
重庆市奉节县永安街道少陵路16号,50,02,36,完整
奉节夔州街道夔府大道9号,50,02,36,完整
奉节县朱衣街道朱衣路6号,50,02,36,截断
奉节鱼复街道诗城路12号,50,02,36,截断
奉节永安街道少陵路16号,50,02,36,省略省
夔州街道夔府大道9号,50,02,36,省略省市
重庆奉节白帝镇,50,02,36,省略市+简称
奉节永完街道少陵路16号,50,02,36,同音错误
渐庆奉节朱衣街道朱衣路6号,50,02,36,编辑距离错误
永安街道奉节县重庆市少陵路16号,50,02,36,顺序混乱
重庆市巫山县巫峡街道广东中路14号,50,02,37,完整
巫山高唐街道平湖西路8号,50,02,37,完整
巫山县庙宇镇庙宇路6号,50,02,37,截断
巫山大昌镇大昌大道12号,50,02,37,截断
巫山巫峡街道广东中路14号,50,02,37,省略省
高唐街道平湖西路8号,50,02,37,省略省市
重庆巫山福田镇,50,02,37,省略市+简称
巫山巫霞街道广东中路14号,50,02,37,同音错误
渐庆巫山庙宇镇庙宇路6号,50,02,37,编辑距离错误
巫峡街道巫山县重庆市广东中路14号,50,02,37,顺序混乱
重庆市巫溪县柏杨街道先锋路12号,50,02,38,完整
巫溪城厢镇西来湾路6号,50,02,38,完整
巫溪县凤凰镇凤凰路8号,50,02,38,截断
巫溪上磺镇上磺大道15号,50,02,38,截断
巫溪柏杨街道先锋路12号,50,02,38,省略省
城厢镇西来湾路6号,50,02,38,省略省市
重庆巫溪文峰镇,50,02,38,省略市+简称
巫溪白杨街道先锋路12号,50,02,38,同音错误
渐庆巫溪凤凰镇凤凰路8号,50,02,38,编辑距离错误
柏杨街道巫溪县重庆市先锋路12号,50,02,38,顺序混乱
重庆市石柱土家族自治县南宾街道万寿大道16号,50,02,40,完整
石柱万安街道都督大道9号,50,02,40,完整
石柱县下路街道下路路6号,50,02,40,截断
石柱黄水镇黄水大道12号,50,02,40,截断
石柱南宾街道万寿大道16号,50,02,40,省略省
万安街道都督大道9号,50,02,40,省略省市
重庆石柱西沱镇,50,02,40,省略市+简称
石柱南滨街道万寿大道16号,50,02,40,同音错误
渐庆石柱下路街道下路路6号,50,02,40,编辑距离错误
南宾街道石柱县重庆市万寿大道16号,50,02,40,顺序混乱
重庆市秀山土家族苗族自治县中和街道黄杨大道18号,50,02,41,完整
秀山乌杨街道朝阳大道9号,50,02,41,完整
秀山县平凯街道平凯路6号,50,02,41,截断
秀山官庄街道官庄大道12号,50,02,41,截断
秀山中和街道黄杨大道18号,50,02,41,省略省
乌杨街道朝阳大道9号,50,02,41,省略省市
重庆秀山洪安镇,50,02,41,省略市+简称
秀山中合街道黄杨大道18号,50,02,41,同音错误
渐庆秀山平凯街道平凯路6号,50,02,41,编辑距离错误
中和街道秀山县重庆市黄杨大道18号,50,02,41,顺序混乱
重庆市酉阳土家族苗族自治县钟多街道桃花源大道16号,50,02,42,完整
酉阳桃花源街道金银山大道9号,50,02,42,完整
酉阳县龙潭镇龙潭路6号,50,02,42,截断
酉阳麻旺镇麻旺大道12号,50,02,42,截断
酉阳钟多街道桃花源大道16号,50,02,42,省略省
桃花源街道金银山大道9号,50,02,42,省略省市
重庆酉阳龚滩镇,50,02,42,省略市+简称
酉阳钟多街导桃花源大道16号,50,02,42,同音错误
渐庆酉阳龙潭镇龙潭路6号,50,02,42,编辑距离错误
钟多街道酉阳县重庆市桃花源大道16号,50,02,42,顺序混乱
重庆市彭水苗族土家族自治县汉葭街道乌江路14号,50,02,43,完整
彭水绍庆街道滨江路9号,50,02,43,完整
彭水县靛水街道靛水大道6号,50,02,43,截断
彭水保家镇保家路12号,50,02,43,截断
彭水汉葭街道乌江路14号,50,02,43,省略省
绍庆街道滨江路9号,50,02,43,省略省市
重庆彭水郁山镇,50,02,43,省略市+简称
彭水汉茄街道乌江路14号,50,02,43,同音错误
渐庆彭水靛水街道靛水大道6号,50,02,43,编辑距离错误
汉葭街道彭水县重庆市乌江路14号,50,02,43,顺序混乱
朝天门街道新华路1号,,,03,歧义
解放碑街道民权路28号,,,03,歧义
中山路街道红河大道12号,,,18,歧义
江北街道北滨路8号,,,05,歧义
上海市黄浦区南京东路街道均乐居委会新昌路87弄,31,01,01,完整
黄浦区外滩街道宝兴居委会金陵东路428号,31,01,01,完整
上海黄浦半淞园路街道西凌家宅路会客室,31,01,01,完整
黄浦区豫园街道旧校场路社区事务受理中心,31,01,01,完整
黄浦区瑞金二路街道复兴公园门侧,31,01,01,截断
上海市黄浦区,31,01,01,截断
南京东路街道均乐社区新昌路87弄,31,01,01,省略省
外滩街道宝兴居委会金陵东路428号,31,01,01,省略省市
黄浦南京东路均乐新昌路87弄,31,01,01,省略市+简称
黄莆区南京东路街道均乐居委会新昌路87弄,31,01,01,同音错误
上诲黄浦外滩宝兴金陵东路428号,31,01,01,编辑距离错误
南京东路街道黄浦区上海市均乐新昌路87弄,31,01,01,顺序混乱
黄莆外滩宝兴金陵东路黄浦上海,31,01,01,同音+顺序混乱
上海市徐汇区天平路街道陕西居委会乌鲁木齐南路,31,01,04,完整
徐汇区徐家汇街道乐山居委会虹桥路188号,31,01,04,完整
上海徐汇漕河泾街道园区企业服务中心,31,01,04,完整
徐汇区湖南路街道武康大楼片区,31,01,04,完整
徐汇区华泾镇社区事务受理中心,31,01,04,截断
上海市徐汇区,31,01,04,截断
天平路街道陕西居委会乌鲁木齐南路,31,01,04,省略省
徐家汇街道乐山居委会虹桥路188号,31,01,04,省略省市
徐汇天平路陕西乌鲁木齐南路,31,01,04,省略市+简称
徐荟区徐家汇街道乐山居委会虹桥路188号,31,01,04,同音错误
徐汇区天评路街道陕西居委会乌鲁木齐南路,31,01,04,编辑距离错误
漕河泾街道徐汇区上海市园区中心,31,01,04,顺序混乱
徐荟漕河泾园区上海徐汇区,31,01,04,同音+顺序混乱
上海市长宁区华阳路街道姚家角居委会安化路,31,01,05,完整
长宁区江苏路街道岐山居委会愚园路1088号,31,01,05,完整
上海长宁新泾镇绿园新村社区福泉路,31,01,05,完整
长宁区仙霞新村街道虹仙居委会茅台路,31,01,05,完整
长宁区周家桥街道中山公园商圈服务点,31,01,05,截断
上海市长宁区,31,01,05,截断
华阳路街道姚家角居委会安化路,31,01,05,省略省
江苏路街道岐山居委会愚园路1088号,31,01,05,省略省市
长宁华阳姚家角安化路,31,01,05,省略市+简称
常宁区仙霞新村街道虹仙居委会茅台路,31,01,05,同音错误
长守区新泾镇绿园新村福泉路,31,01,05,编辑距离错误
仙霞新村街道长宁区上海市虹仙茅台路,31,01,05,顺序混乱
常宁新泾绿园长宁上海福泉路,31,01,05,同音+顺序混乱
上海市静安区南京西路街道陕北居委会茂名北路,31,01,06,完整
静安区静安寺街道侨园居委会常德路800号,31,01,06,完整
上海静安彭浦新村街道艺康苑居委会保德路,31,01,06,完整
静安区大宁路街道慧芝湖花园居委会平型关路,31,01,06,完整
静安区曹家渡街道高荣小区事务站,31,01,06,截断
上海市静安区,31,01,06,截断
南京西路街道陕北居委会茂名北路,31,01,06,省略省
静安寺街道侨园居委会常德路800号,31,01,06,省略省市
静安南京西路陕北茂名北路,31,01,06,省略市+简称
净安区大宁路街道慧芝湖花园平型关路,31,01,06,同音错误
静案区彭浦新村艺康苑保德路,31,01,06,编辑距离错误
曹家渡街道静安区上海市高荣小区,31,01,06,顺序混乱
净安彭浦保德路静安上海艺康苑,31,01,06,同音+顺序混乱
上海市普陀区曹杨新村街道花溪居委会兰溪路,31,01,07,完整
普陀区真如镇街道清涧新村居委会铜川路,31,01,07,完整
上海普陀长征镇象源丽都居委会祁连山南路,31,01,07,完整
普陀区长寿路街道长鸿居委会西康路,31,01,07,完整
普陀区桃浦镇未来岛园区服务中心,31,01,07,截断
上海市普陀区,31,01,07,截断
曹杨新村街道花溪居委会兰溪路,31,01,07,省略省
真如镇街道清涧新村铜川路,31,01,07,省略省市
普陀曹杨花溪兰溪路,31,01,07,省略市+简称
莆陀区长征镇象源丽都祁连山南路,31,01,07,同音错误
普院区桃浦镇未来岛服务中心,31,01,07,编辑距离错误
真如镇街道普陀区上海市清涧铜川路,31,01,07,顺序混乱
莆陀长征祁连山普陀上海象源丽都,31,01,07,同音+顺序混乱
上海市虹口区北外滩街道白玉兰党群服务中心,31,01,09,完整
虹口区欧阳路街道蒋家桥居委会天宝西路,31,01,09,完整
上海虹口曲阳路街道玉一居委会玉田路,31,01,09,完整
虹口区嘉兴路街道瑞虹新城居委会临平路,31,01,09,完整
虹口区四川北路街道社区事务受理中心,31,01,09,截断
上海市虹口区,31,01,09,截断
北外滩街道白玉兰党群中心,31,01,09,省略省
欧阳路街道蒋家桥天宝西路,31,01,09,省略省市
虹口北外滩白玉兰临平路口,31,01,09,省略市+简称
红口区曲阳路街道玉一居委会玉田路,31,01,09,同音错误
虹囗区嘉兴瑞虹临平路,31,01,09,编辑距离错误
曲阳路街道虹口区上海市玉一玉田路,31,01,09,顺序混乱
红口嘉兴瑞虹虹口上海临平路,31,01,09,同音+顺序混乱
上海市杨浦区五角场街道复旦居委会政通路,31,01,10,完整
杨浦区江浦路街道辽源西路居委会辽源西路,31,01,10,完整
上海杨浦新江湾城街道雍景苑居委会国浩路,31,01,10,完整
杨浦区控江路街道凤城巷居委会凤城路,31,01,10,完整
杨浦区平凉路街道社区事务受理中心,31,01,10,截断
上海市杨浦区,31,01,10,截断
五角场街道复旦居委会政通路,31,01,10,省略省
江浦路街道辽源西路居委会辽源西路,31,01,10,省略省市
杨浦五角场复旦政通路,31,01,10,省略市+简称
扬浦区新江湾城雍景苑国浩路,31,01,10,同音错误
杨甫区控江凤城路,31,01,10,编辑距离错误
控江路街道杨浦区上海市凤城居委会,31,01,10,顺序混乱
扬浦新江湾国浩路杨浦上海雍景苑,31,01,10,同音+顺序混乱
上海市闵行区莘庄镇康城居委会莘松路,31,01,12,完整
闵行区江川路街道汽轮机新村居委会兰坪路,31,01,12,完整
上海闵行七宝镇万科城市花园居委会漕宝路,31,01,12,完整
闵行区古美路街道平吉三村居委会顾戴路,31,01,12,完整
闵行区浦江镇社区事务受理服务中心,31,01,12,截断
上海市闵行区,31,01,12,截断
莘庄镇康城居委会莘松路,31,01,12,省略省
江川路街道汽轮机新村兰坪路,31,01,12,省略省市
闵行莘庄康城莘松路,31,01,12,省略市+简称
敏行区七宝万科漕宝路,31,01,12,同音错误
闵行区古美平吉顾裁路,31,01,12,编辑距离错误
七宝镇闵行区上海市万科漕宝路,31,01,12,顺序混乱
敏行古美顾戴路闵行上海平吉三村,31,01,12,同音+顺序混乱
上海市宝山区友谊路街道宝钢一村居委会团结路,31,01,13,完整
宝山区吴淞街道海滨新村居委会淞滨路,31,01,13,完整
上海宝山大场镇大华一村居委会华灵路,31,01,13,完整
宝山区顾村镇菊泉新城居委会沪太路,31,01,13,完整
宝山区罗店镇社区事务受理中心,31,01,13,截断
上海市宝山区,31,01,13,截断
友谊路街道宝钢一村团结路,31,01,13,省略省
吴淞街道海滨新村淞滨路,31,01,13,省略省市
